Wavelength,Spectrum,3-Averaged,5-Averaged
102,1.15E-06,1.54E-06,2.96E-06
103.8,3.48E-06,4.93E-06,9.77E-06
105.6,1.02E-05,1.59E-05,4.00E-05
107.7,3.40E-05,6.52E-05,2.40E-04
110.4,0.000151379,3.95E-04,1.55E-03
114,0.001000303,2.57E-03,8.29E-03
117.8,0.006562314,1.38E-02,4.01E-02
121.3,0.033702093,6.64E-02,1.24E-01
124.8,0.158974259,2.05E-01,2.69E-01
127.1,0.421914795,4.34E-01,6.04E-01
128.4,0.721937019,9.42E-01,1.31E+00
130.5,1.682975695,1.98E+00,2.53E+00
132.4,3.545529505,3.84E+00,5.89E+00
133.9,6.293593641,9.01E+00,1.65E+01
136.6,17.18466089,2.58E+01,5.18E+01
139.8,53.91944362,8.31E+01,1.78E+02
143.3,178.1917998,2.89E+02,5.88E+02
147.2,633.8053085,9.56E+02,2.00E+03
151,2055.219146,3.26E+03,5.89E+03
155.2,7082.815284,9.54E+03,1.51E+04
158.8,19475.53525,2.43E+04,4.10E+04
162,46208.43839,6.53E+04,1.16E+05
166,130126.8561,1.84E+05,2.71E+05
170.3,375192.9017,4.29E+05,6.07E+05
173.4,782570.7962,9.53E+05,1.32E+06
176.8,1701116.664,2.03E+06,2.28E+06
180.2,3594109.649,3.42E+06,4.69E+06
181.7,4959920.723,6.98E+06,1.11E+07
186.1,12388306.52,1.67E+07,2.21E+07
191,32770297.85,3.40E+07,4.75E+07
193.9,56986831.34,7.34E+07,9.41E+07
198.4,130314990.8,1.42E+08,1.74E+08
201.8,237923413.5,2.60E+08,3.71E+08
205,411855556.5,5.57E+08,8.57E+08
210.5,1019736814,1.31E+09,1.69E+09
216.2,2486139909,2.59E+09,3.00E+09
219.8,4271385209,4.52E+09,5.27E+09
223,6809091771,7.62E+09,7.57E+11
226.8,11775573204,1.26E+12,2.43E+12
230,3.76005E+12,4.04E+12,5.50E+12
234,8.35355E+12,9.16E+12,1.15E+13
240,1.53543E+13,1.79E+13,2.23E+13
246.5,2.99507E+13,3.31E+13,3.71E+13
252.4,5.40592E+13,5.39E+13,6.21E+13
256.8,7.76646E+13,8.84E+13,1.01E+14
260,1.33415E+14,1.40E+14,1.59E+14
264,2.07449E+14,2.21E+14,2.44E+14
268.5,3.21146E+14,3.37E+14,3.65E+14
273.5,4.81007E+14,4.95E+14,6.34E+14
278.5,6.83292E+14,8.80E+14,1.05E+15
284,1.4767E+15,1.49E+15,1.66E+15
290,2.29713E+15,2.38E+15,2.51E+15
296,3.36823E+15,3.46E+15,4.43E+15
301,4.71906E+15,6.12E+15,8.74E+15
308,1.03E+16,1.27E+16,1.59E+16
318,2.31E+16,2.38E+16,2.93E+16
328,3.80E+16,4.38E+16,5.19E+16
338,7.03E+16,7.54E+16,1.15E+17
348,1.18E+17,1.72E+17,2.41E+17
357,3.27E+17,3.66E+17,4.07E+17
366,6.54E+17,6.16E+17,6.62E+17
375,8.66E+17,9.55E+17,1.13E+18
385,1.34E+18,1.55E+18,1.71E+18
395,2.45E+18,2.35E+18,2.49E+18
405,3.25E+18,3.40E+18,3.40E+18
414,4.52E+18,4.40E+18,4.51E+18
