Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,1.3522674349552737e-11
127.1,6.052721606675652e-11
128.4,1.3101038322601833e-10
130.5,4.3262376052650465e-10
132.4,1.2320631479983604e-09
133.9,2.755298938438932e-09
136.6,1.1252066853429409e-08
139.8,5.5775378501217753e-08
143.3,2.970467415228335e-07
147.2,1.7531774210849262e-06
151.0,9.102912630280872e-06
155.2,5.1499791821090876e-05
158.8,0.00021262465934853903
162.0,0.0007147355679880044
166.0,0.003062178900779991
170.3,0.013640442311892653
173.4,0.038454383427318065
176.8,0.11512155882037069
180.2,0.331842823292412
181.7,0.5231004834648738
186.1,1.9153050929787603
191.0,7.622656380565988
193.9,16.7319917905463
198.4,54.37107850140875
201.8,128.21073678758538
205.0,280.70458107002065
210.5,1024.2613506164146
216.2,3668.3889783629697
219.8,7953.6139213910865
223.0,15507.248051695387
226.8,33464.24941218782
230.0,895810.6342415034
234.0,2215974.934638555
240.0,6100739.860617958
246.5,17266084.439830147
252.4,42921887.86902599
256.8,79353003.7581358
260.0,130604783.84727813
264.0,226475351.9850768
268.5,412295885.551492
273.5,781852922.6268026
278.5,1460775484.098753
284.0,2872602413.9902864
290.0,5705251182.561737
296.0,11027201698.71337
301.0,18678337444.133915
308.0,37832120622.87055
318.0,102224557172.52301
328.0,247994582611.19717
338.0,591666311765.4011
348.0,1316461072175.5469
357.0,2929409401496.008
366.0,5694162903209.246
375.0,10269679504850.41
385.0,19534264964581.85
395.0,36107929404113.23
405.0,63982093553860.36
414.0,105525654748396.31
422.0,159239654043040.38
430.0,240247913483208.62
441.0,409541166563004.2
451.0,647771813587299.5
460.0,956151736960235.8
470.0,1465703588582775.2
480.0,2187223649638013.0
490.0,3233953391511810.0
500.0,4687576119723995.0
506.0,3.1860092549076468e+16
512.0,2.4110438721647888e+17
520.0,3.004929106056165e+17
530.0,4.067539078830496e+17
540.0,4.71096658721284e+17
550.0,7.023461994623544e+17
560.0,8.528290881392393e+17
570.0,1.1026392809201069e+18
580.0,1.1190505386501183e+18
590.0,1.5400473447094838e+18
600.0,1.888938293423506e+18
610.0,2.3523224196214415e+18
620.0,2.7099310587860357e+18
630.0,3.1387668323281495e+18
640.0,3.2658655752641587e+18
650.0,2.797499911665897e+18
658.0,4.2761820488309965e+18
665.0,5.057366767226699e+18
675.0,5.645478980871909e+18
685.0,6.244432992285599e+18
695.0,7.838208872991756e+18
705.0,8.552661219816581e+18
716.0,9.930859172999195e+18
726.0,1.0891094759148024e+19
735.0,1.1825303708904534e+19
745.0,1.3752330533847038e+19
755.0,1.5340163971461437e+19
765.0,1.7100581128655694e+19
775.0,1.9068288401784877e+19
785.0,2.1090931664773e+19
795.0,2.272662073451998e+19
805.0,2.4630794440551084e+19
815.0,2.6497891094738383e+19
825.0,2.9535048471945396e+19
835.0,2.9465477635536007e+19
845.0,3.3279893925649375e+19
855.0,3.56574085109311e+19
865.0,3.9032811013270725e+19
875.0,4.277531742022582e+19
885.0,4.718050105813179e+19
895.0,5.0723651142854255e+19
905.0,5.177669631095004e+19
915.0,8.156003143441554e+19
925.0,5.2113961565147306e+20
935.0,1.5781928476188913e+21
945.0,4.2003558810392645e+21
955.0,6.44176643244489e+21
965.0,7.955034775476583e+21
975.0,1.1532291084974045e+21
985.0,7.547029480313875e+21
995.0,7.711710535085328e+21
1005.0,9.561802092229903e+21
1015.0,9.265532801120317e+21
1025.0,3.3118215636024364e+21
1035.0,6.529268704068243e+21
1045.0,1.2003513361379153e+22
1055.0,1.1231344219862652e+22
1065.0,8.934241668749052e+21
1075.0,1.0805447891625534e+22
1085.0,9.4861302616713e+21
1095.0,1.1089546894209712e+22
1105.0,9.81467167764453e+21
1115.0,9.297299642525994e+21
1125.0,7.97962619301338e+21
1135.0,1.0633622424142859e+22
1145.0,9.431636779604952e+21
1155.0,1.002512266351852e+22
1165.0,1.0170838953416871e+22
1175.0,6.437894141917609e+21
1185.0,1.013569041663863e+22
1195.0,8.483691046161793e+21
1205.0,4.847146374847733e+21
1215.0,3.158395859774869e+21
1225.0,7.701548436688681e+21
1235.0,1.0009033708527315e+22
1245.0,1.006646668647264e+22
1255.0,9.90137454046731e+21
1265.0,9.780344368497231e+21
1275.0,1.0276791646834204e+22
1285.0,1.0324899733774327e+22
1295.0,6.735987037016255e+21
1305.0,7.032198861514984e+21
1315.0,1.005053650304146e+22
1325.0,9.373097349707215e+21
1335.0,8.667401053497351e+21
1345.0,9.48907057320749e+21
1355.0,9.32834002466364e+21
1365.0,8.413455998157359e+21
