Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,107589,326.86478679,-9.75650962,8.96,6.73,1.032,K0          ,0.0799999999999983,"[326.6122513921551, -10.807650342776974, 327.01225139215506, -8.807650342776974]"
1,107622,326.98194924,-9.86360241,8.59,1.74,0.914,G5          ,0.8200000000000003,"[326.6122513921551, -10.807650342776974, 327.01225139215506, -8.807650342776974]"
2,108180,328.75755339,-11.9702488,8.08,6.49,0.431,A2m...      ,1.8399999999999999,"[328.7029872748304, -13.326357875880904, 329.10298727483035, -11.326357875880904]"
3,108882,330.84594921,-14.95173814,7.91,0.8,1.178,K0/K1III    ,2.1799999999999997,"[330.8343511534579, -15.828953501188122, 331.23435115345785, -13.828953501188122]"
3,108958,331.11622245,-14.44695301,7.36,3.41,1.52,K5III       ,3.2799999999999994,"[330.8343511534579, -15.828953501188122, 331.23435115345785, -13.828953501188122]"
4,109634,333.13800915,-18.02717247,8.8,10.99,0.586,F7V         ,0.3999999999999986,"[333.01561328102565, -18.311582048267077, 333.4156132810256, -16.311582048267077]"
5,110424,335.4999446,-19.43526875,7.86,16.02,0.642,G3V         ,2.2799999999999994,"[335.2565577080151, -20.770077423916362, 335.6565577080151, -18.770077423916362]"
5,110453,335.59331145,-20.17129729,8.01,2.67,1.087,K0III       ,1.9800000000000004,"[335.2565577080151, -20.770077423916362, 335.6565577080151, -18.770077423916362]"
6,111162,337.80592765,-22.99653875,8.12,6.25,0.536,F8/G0V      ,1.7600000000000016,"[337.5675724185078, -23.199903079072804, 337.96757241850776, -21.199903079072804]"
6,111192,337.89555488,-22.67687791,8.93,6.7,0.742,G6V         ,0.14000000000000057,"[337.5675724185078, -23.199903079072804, 337.96757241850776, -21.199903079072804]"
7,111996,340.27945649,-24.23775207,8.69,4.01,0.101,A0V         ,0.620000000000001,"[339.9597132840203, -25.596065834050176, 340.3597132840203, -23.596065834050176]"
7,112015,340.34423241,-25.35029308,7.36,10.09,0.448,F5          ,3.2799999999999994,"[339.9597132840203, -25.596065834050176, 340.3597132840203, -23.596065834050176]"
8,,,,,,,,,"([342.4447715417779, -27.953042070200503, 342.8447715417779, -25.953042070200503],)"
9,113669,345.33061462,-28.85390821,5.55,5.58,1.349,K3III       ,6.9,"[345.03530628873386, -30.264684497291963, 345.43530628873384, -28.264684497291963]"
10,,,,,,,,,"([347.7446517772227, -32.52413301007354, 348.1446517772227, -30.524133010073545],)"
11,115497,350.94127369,-34.60371589,8.76,2.05,1.569,M1III       ,0.4800000000000004,"[350.58684750442313, -34.72370159487103, 350.9868475044231, -32.72370159487103]"
11,115501,350.94963423,-33.37870291,8.5,13.31,0.581,F8/G0V      ,1.0,"[350.58684750442313, -34.72370159487103, 350.9868475044231, -32.72370159487103]"
12,116375,353.72633471,-35.08490334,7.07,5.81,1.075,K1III       ,3.8599999999999994,"[353.57650739621664, -36.8547818855043, 353.9765073962166, -34.8547818855043]"
13,117337,356.88119585,-38.15639668,8.04,1.65,0.991,K0III       ,1.9200000000000017,"[356.7285621832007, -38.90773985707082, 357.1285621832007, -36.90773985707082]"
14,48,0.13522264,-40.69044664,7.31,1.86,1.164,K0/K1III    ,3.380000000000001,"[0.05786346739245313, -40.87183621988799, 0.45786346739245315, -38.87183621988799]"
14,125,0.40473165,-39.33667992,8.7,5.08,0.366,F2V         ,0.6000000000000014,"[0.05786346739245313, -40.87183621988799, 0.45786346739245315, -38.87183621988799]"
14,133,0.4233689,-40.14866597,6.62,3.51,0.545,F5IV        ,4.76,"[0.05786346739245313, -40.87183621988799, 0.45786346739245315, -38.87183621988799]"
15,1228,3.81692145,-42.16494861,8.7,5.26,0.408,F2V         ,0.6000000000000014,"[3.5785653947397096, -42.73515825062426, 3.97856539473971, -40.73515825062426]"
16,,,,,,,,,"([7.303292388885425, -44.484615892237336, 7.7032923888854254, -42.484615892237336],)"
17,3543,11.31572942,-45.02040137,8.99,6.99,0.549,F6V         ,0.019999999999999574,"[11.242022886970645, -46.1060015349152, 11.642022886970643, -44.1060015349152]"
18,4807,15.42939164,-46.2156318,7.94,13.98,0.407,F3V         ,2.119999999999999,"[15.40072567601937, -47.58416149620774, 15.800725676019368, -45.58416149620774]"
18,4882,15.68345889,-47.28725845,7.7,20.35,0.591,G0V         ,2.5999999999999996,"[15.40072567601937, -47.58416149620774, 15.800725676019368, -45.58416149620774]"
18,4890,15.7049656,-46.39733801,5.39,13.86,0.9,G8III       ,7.220000000000001,"[15.40072567601937, -47.58416149620774, 15.800725676019368, -45.58416149620774]"
18,4917,15.78507734,-45.88643611,8.95,8.88,0.625,G2V         ,0.10000000000000142,"[15.40072567601937, -47.58416149620774, 15.800725676019368, -45.58416149620774]"
19,6168,19.78433241,-48.15602135,8.9,3.73,1.15,K1III       ,0.1999999999999993,"[19.779757008769252, -48.90328976536515, 20.17975700876925, -46.90328976536515]"
19,6200,19.87930753,-48.29467461,8.79,5.53,0.333,F0V         ,0.4200000000000017,"[19.779757008769252, -48.90328976536515, 20.17975700876925, -46.90328976536515]"
19,6207,19.89144175,-47.29229544,7.48,2.2,1.64,M4III       ,3.039999999999999,"[19.779757008769252, -48.90328976536515, 20.17975700876925, -46.90328976536515]"
19,6262,20.08268243,-48.67655056,7.68,11.21,0.54,F6V         ,2.6400000000000006,"[19.779757008769252, -48.90328976536515, 20.17975700876925, -46.90328976536515]"
20,,,,,,,,,"([24.37222324630254, -50.04739602318955, 24.772223246302538, -48.04739602318955],)"
21,9065,29.17575474,-49.40762992,8.54,9.23,0.516,F7/F8V      ,0.9200000000000017,"[29.162498946028332, -51.00093697913055, 29.56249894602833, -49.00093697913055]"
21,9083,29.23869676,-49.24600023,8.15,2.61,1.201,K1/K2III    ,1.6999999999999993,"[29.162498946028332, -51.00093697913055, 29.56249894602833, -49.00093697913055]"
22,10602,34.12708452,-51.51211145,3.56,21.06,-0.12,B8IV-V      ,10.879999999999999,"[34.12527219508607, -51.749604064969354, 34.525272195086075, -49.749604064969354]"
22,10725,34.50919192,-50.8189655,8.51,18.04,0.638,G3V         ,0.9800000000000004,"[34.12527219508607, -51.749604064969354, 34.525272195086075, -49.749604064969354]"
23,,,,,,,,,"([39.22541824027934, -52.281196282481126, 39.625418240279345, -50.281196282481126],)"
24,13889,44.71268905,-52.09597316,8.44,9.89,0.736,F7/F8V      ,1.120000000000001,"[44.41906786066707, -52.586493595423974, 44.819067860667076, -50.586493595423974]"
