Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,48406,148.03557309,16.46300775,8.97,-0.49,nan,B9          ,0.05999999999999872,"[147.98560861366363, 15.10435447470179, 148.3856086136636, 17.10435447470179]"
1,48504,148.37908933,16.95051888,8.89,18.29,0.858,K0          ,0.21999999999999886,"[147.98560861366363, 15.10435447470179, 148.3856086136636, 17.10435447470179]"
2,64966,199.73865836,-25.25548067,8.96,12.54,0.652,G3V         ,0.0799999999999983,"[199.60976078683598, -26.50091295374442, 200.00976078683595, -24.50091295374442]"
2,64970,199.74324212,-25.59556049,8.12,11.86,0.561,F8V         ,1.7600000000000016,"[199.60976078683598, -26.50091295374442, 200.00976078683595, -24.50091295374442]"
2,64996,199.8403286,-24.61932029,8.26,17.13,0.511,F5V         ,1.4800000000000004,"[199.60976078683598, -26.50091295374442, 200.00976078683595, -24.50091295374442]"
3,90802,277.85297905,-39.7882378,8.85,3.99,0.532,F3V         ,0.3000000000000007,"[277.7088603483809, -40.57947279676976, 278.10886034838086, -38.57947279676976]"
3,90885,278.08633275,-40.01614789,8.85,6.49,0.357,F2V         ,0.3000000000000007,"[277.7088603483809, -40.57947279676976, 278.10886034838086, -38.57947279676976]"
3,90887,278.08877815,-39.70390941,5.16,14.83,0.079,A3V         ,7.68,"[277.7088603483809, -40.57947279676976, 278.10886034838086, -38.57947279676976]"
4,112019,340.3521299,-5.65534053,8.98,2.12,1.185,K0          ,0.03999999999999915,"[340.18762144394304, -6.83869694701708, 340.587621443943, -4.83869694701708]"
4,112078,340.52494082,-5.10183894,6.28,2.44,1.569,M0          ,5.4399999999999995,"[340.18762144394304, -6.83869694701708, 340.587621443943, -4.83869694701708]"
5,10918,35.13969656,33.52161462,8.46,3.59,1.009,G5          ,1.0799999999999983,"[35.136130993465265, 32.46924060308894, 35.53613099346527, 34.46924060308894]"
6,37861,116.4224554,34.55539448,7.99,7.31,0.248,A3          ,2.0199999999999996,"[116.06448061387286, 33.356069557158925, 116.46448061387287, 35.356069557158925]"
