Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,,,,,,,,,"([160.65386665716466, -0.5099843359468089, 160.85386665716464, 0.4900156640531911],)"
2,,,,,,,,,"([164.83194157963032, -0.5105019326816058, 165.0319415796303, 0.4894980673183941],)"
3,,,,,,,,,"([169.00998743522823, -0.5109735850179352, 169.20998743522821, 0.4890264149820647],)"
4,,,,,,,,,"([173.18800424267383, -0.5113967385422464, 173.38800424267382, 0.48860326145775357],)"
5,,,,,,,,,"([177.36599267902702, -0.5117690534703127, 177.565992679027, 0.4882309465296874],)"
6,,,,,,,,,"([181.54395306929206, -0.5120884170398493, 181.74395306929205, 0.4879115829601507],)"
7,,,,,,,,,"([185.72188605617714, -0.5123529550596834, 185.92188605617713, 0.48764704494031663],)"
8,,,,,,,,,"([189.8997924285711, -0.5125610422948377, 190.09979242857108, 0.4874389577051624],)"
9,,,,,,,,,"([194.0776729492701, -0.512711311733751, 194.27767294927008, 0.487288688266249],)"
10,,,,,,,,,"([198.25552902238385, -0.512802662701239, 198.45552902238384, 0.48719733729876097],)"
11,65874,202.53261558,0.34431318,8.56,2.3,1.029,K0          ,0.879999999999999,"[202.4333616791422, -0.5128342676877067, 202.63336167914218, 0.4871657323122933]"
12,,,,,,,,,"([206.61117224388443, -0.5128055779767782, 206.8111722438844, 0.48719442202322183],)"
13,,,,,,,,,"([210.78896215895622, -0.5127163279415327, 210.9889621589562, 0.4872836720584674],)"
14,70081,215.12059179,0.18204238,6.79,3.96,1.219,K0          ,4.42,"[214.9667328089739, -0.5125665380304701, 215.16673280897388, 0.48743346196952986]"
15,,,,,,,,,"([219.14448618494117, -0.5123565163739836, 219.34448618494116, 0.4876434836260164],)"
16,72882,223.44440425,-0.42470508,8.0,2.63,1.079,K0III       ,2.0,"[223.32222386696932, -0.5120868590931463, 223.5222238669693, 0.48791314090685367]"
16,72888,223.45765424,-0.40545073,7.36,14.71,0.913,G8III       ,3.2799999999999994,"[223.32222386696932, -0.5120868590931463, 223.5222238669693, 0.48791314090685367]"
17,,,,,,,,,"([227.4999476873536, -0.5117584491818749, 227.69994768735359, 0.4882415508181252],)"
18,,,,,,,,,"([231.677659552786, -0.511372454044863, 231.87765955278599, 0.48862754595513697],)"
19,,,,,,,,,"([235.85536143424648, -0.5109303216644986, 236.05536143424646, 0.4890696783355014],)"
20,78399,240.07882057,0.13727293,8.05,23.04,0.643,G0          ,1.8999999999999986,"[240.03305518848472, -0.510433775433569, 240.2330551884847, 0.48956622456643095]"
21,,,,,,,,,"([244.2107432196094, -0.5098848075469311, 244.4107432196094, 0.49011519245306895],)"
22,,,,,,,,,"([248.38842745964416, -0.509285671281165, 248.58842745964415, 0.490714328718835],)"
23,82455,252.75815217,-0.46690485,8.75,4.2,0.397,A0          ,0.5,"[252.56611002971462, -0.5086388717923623, 252.7661100297146, 0.4913611282076377]"
24,,,,,,,,,"([256.7437930607258, -0.5079471557627597, 256.94379306072585, 0.49205284423724027],)"
25,,,,,,,,,"([260.921478513969, -0.507213499853205, 261.12147851396907, 0.49278650014679504],)"
26,,,,,,,,,"([265.09916884215875, -0.506441097848056, 265.2991688421588, 0.493558902151944],)"
27,,,,,,,,,"([269.27686596970113, -0.5056333469935128, 269.4768659697012, 0.4943666530064872],)"
