Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,71510,219.36870503,2.27741561,6.45,11.16,0.02,F8          ,1.0999999999999996,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72122,221.29891743,-1.41752729,6.06,6.38,0.015,M1III       ,1.8800000000000008,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72154,221.37595224,0.71729003,5.68,5.31,0.005,B9.5V       ,2.6400000000000006,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72220,221.56246594,1.8929383,3.73,25.35,0.006,A0V         ,6.54,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72226,221.57422109,-0.83383067,6.91,5.79,0.015,K0III       ,0.17999999999999972,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72298,221.77237272,0.97095783,6.62,5.52,0.002,A0...       ,0.7599999999999998,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72330,221.85685483,2.03580545,6.8,9.07,0.011,A2          ,0.40000000000000036,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72449,222.22541473,-0.84769586,6.15,9.24,0.007,B9Vsvar...  ,1.6999999999999993,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72629,222.75047349,-0.25750738,6.18,7.18,0.007,K3III       ,1.6400000000000006,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72631,222.75425052,-2.29884995,4.93,15.09,0.001,G8...       ,4.140000000000001,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72868,223.41297966,2.23757947,6.82,4.77,0.021,K5III       ,0.35999999999999943,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,72869,223.41595568,6.24178874,6.63,3.47,0.015,K0          ,0.7400000000000002,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73019,223.84519206,6.7847917,6.74,3.77,0.011,K5          ,0.5199999999999996,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73165,224.29606996,-4.34608634,4.47,35.83,0.006,F0V         ,5.0600000000000005,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73193,224.38840115,-0.16754803,5.51,11.06,0.002,K1III       ,2.9800000000000004,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73309,224.72080247,-4.98899499,6.08,28.67,0.003,F8V         ,1.8399999999999999,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73350,224.84631129,4.56777277,5.91,4.5,0.016,M1III       ,2.1799999999999997,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73424,225.07779956,7.64829855,6.99,-0.68,0.018,K2          ,0.019999999999999574,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73480,225.2559958,2.89765004,6.72,14.89,0.003,F5          ,0.5600000000000005,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73497,225.33254143,-2.75487208,5.52,5.78,0.012,M0III       ,2.960000000000001,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73518,225.39723513,-3.16403704,6.68,10.25,0.017,K1:IV-V:    ,0.6400000000000006,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73536,225.45381414,-0.14025867,5.71,3.19,0.011,M2III       ,2.58,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
