Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,930,2.8934043,-27.7997782,5.41,5.61,1.346,K2III       ,3.1799999999999997,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,950,2.93286698,-35.13339606,5.24,45.85,0.459,F3/F5V      ,3.5199999999999996,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1096,3.42591849,-26.02215399,5.94,3.22,1.548,K5III       ,2.119999999999999,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1099,3.4349148,-26.28498303,6.14,4.23,1.49,K4III       ,1.7200000000000006,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1195,3.74253202,-34.90419374,6.17,4.41,1.344,K3III       ,1.6600000000000001,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1288,4.0366068,-31.44632821,5.66,7.64,1.35,K2III       ,2.6799999999999997,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1330,4.17534757,-32.68837302,6.67,5.89,1.077,K0III       ,0.6600000000000001,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1708,5.37990144,-28.98129509,5.18,10.5,1.006,K0III       ,3.6400000000000006,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1830,5.80247078,-31.03578185,6.55,5.13,-0.06,B9IV        ,0.9000000000000004,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,1849,5.84219107,-29.8471576,6.81,4.23,1.56,M2III       ,0.3800000000000008,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
1,2032,6.43993806,-27.71010361,6.88,6.89,1.293,K2III       ,0.2400000000000002,"[2.814873710330902, -35.60853834156432, 6.814873710330902, -25.60853834156432]"
2,2944,9.34217573,-37.28798048,6.99,22.29,0.723,G8V         ,0.019999999999999574,"[8.529025634756971, -39.99386211306927, 12.529025634756971, -29.99386211306927]"
2,3142,9.98996521,-33.96118617,6.68,24.12,0.519,F7V         ,0.6400000000000006,"[8.529025634756971, -39.99386211306927, 12.529025634756971, -29.99386211306927]"
