Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,102254,310.79702385,40.62892036,8.57,2.47,-0.066,A0          ,0.8599999999999994,"[310.71157676974894, 40.25985264755416, 311.21157676974894, 42.25985264755416]"
1,102313,310.95533752,41.84230138,8.5,1.43,-0.05,A           ,1.0,"[310.71157676974894, 40.25985264755416, 311.21157676974894, 42.25985264755416]"
1,102321,310.97321911,42.22023128,7.01,4.89,0.302,F0          ,3.9800000000000004,"[310.71157676974894, 40.25985264755416, 311.21157676974894, 42.25985264755416]"
1,Celestial_data for frame,Sun,"(11.451124213788377, 3.512085510623423)",moon,"(19.71184625295715, -26.097321230289413)"
2,104541,317.63689354,36.79609799,7.6,9.93,0.388,F2          ,2.8000000000000007,"[317.4624178250872, 36.380912431355526, 317.9624178250872, 38.380912431355526]"
2,104547,317.65994441,37.91601859,8.4,2.41,-0.031,A0          ,1.1999999999999993,"[317.4624178250872, 36.380912431355526, 317.9624178250872, 38.380912431355526]"
2,104550,317.67283265,37.49794751,8.2,2.95,1.04,K2          ,1.6000000000000014,"[317.4624178250872, 36.380912431355526, 317.9624178250872, 38.380912431355526]"
2,104588,317.79901973,36.65508286,8.05,7.75,0.3,A5          ,1.8999999999999986,"[317.4624178250872, 36.380912431355526, 317.9624178250872, 38.380912431355526]"
2,Celestial_data for frame,Sun,"(11.45119339163914, 3.5116416824378174)",moon,"(19.713005998402984, -26.093899647028824)"
3,Empty frame,,,,,,,,"[323.5199487586962, 32.157227184980954, 324.0199487586962, 34.157227184980954]"
3,Celestial_data for frame,Sun,"(11.451262569462273, 3.51119785290099)",moon,"(19.714165722592412, -26.090475838972235)"
4,108357,329.27800353,27.99371557,8.62,3.11,0.715,G0III       ,0.7600000000000016,"[329.0025562530157, 27.668141438545472, 329.5025562530157, 29.668141438545472]"
4,108385,329.37164207,29.31021231,7.19,5.96,1.217,K3III       ,3.619999999999999,"[329.0025562530157, 27.668141438545472, 329.5025562530157, 29.668141438545472]"
4,108388,329.37777755,28.93698657,8.81,15.13,0.685,G5V:        ,0.379999999999999,"[329.0025562530157, 27.668141438545472, 329.5025562530157, 29.668141438545472]"
4,108399,329.41089646,28.77083439,8.28,2.43,0.077,A0          ,1.4400000000000013,"[329.0025562530157, 27.668141438545472, 329.5025562530157, 29.668141438545472]"
4,108417,329.45545207,28.69181965,8.93,2.27,1.15,K0          ,0.14000000000000057,"[329.0025562530157, 27.668141438545472, 329.5025562530157, 29.668141438545472]"
4,Celestial_data for frame,Sun,"(11.451331747257779, 3.5107540220130726)",moon,"(19.71532542548989, -26.08704980630812)"
5,109949,334.02481313,24.53842302,8.99,0.37,0.389,A7          ,0.019999999999999574,"[334.0233508922903, 22.977096371727363, 334.5233508922903, 24.977096371727363]"
5,109969,334.10390661,24.19431148,8.38,6.99,0.191,A0          ,1.2399999999999984,"[334.0233508922903, 22.977096371727363, 334.5233508922903, 24.977096371727363]"
5,110041,334.33388914,24.81131738,8.65,1.59,1.061,G5          ,0.6999999999999993,"[334.0233508922903, 22.977096371727363, 334.5233508922903, 24.977096371727363]"
5,Celestial_data for frame,Sun,"(11.451400925025675, 3.5103101897742075)",moon,"(19.71648510706215, -26.083621549214058)"
6,111535,338.94696466,19.7165987,7.07,6.78,0.946,K0          ,3.8599999999999994,"[338.6842995015298, 18.134798573402318, 339.1842995015298, 20.134798573402318]"
6,Celestial_data for frame,Sun,"(11.451470102765965, 3.509866356184526)",moon,"(19.717644767272816, -26.080191067881625)"
7,113089,343.53683866,14.35275648,8.48,3.49,1.18,K2          ,1.0399999999999991,"[343.075404157979, 13.18233360292018, 343.575404157979, 15.18233360292018]"
7,Celestial_data for frame,Sun,"(11.45153928047866, 3.509422521244172)",moon,"(19.718804406087923, -26.076758362492484)"
8,114347,347.38106177,8.67717165,5.05,4.28,1.484,M4Sv        ,7.9,"[347.2762920155439, 8.15382830934407, 347.7762920155439, 10.15382830934407]"
8,114389,347.50612955,9.82210111,5.39,5.27,-0.068,B9III       ,7.220000000000001,"[347.2762920155439, 8.15382830934407, 347.7762920155439, 10.15382830934407]"
